region_code,region_name,company_code,company_name,branch_code,branch_name,branch_address,branch_post_code,branch_start_date,branch_end_date,contract_type,inventory_facility,transaction_value,transaction_description
Q71,Adsia,08F,Cisco,Y02973,Kings Park Surgery,Harold Wood Polyclinic St Clements Avenue OffG ubbins Lane Harold Wood Essex,RM3 0EF,-,-,APMS,No,326900.45,28_Total_National_Enhanced_Services
Q6x5,Yorkshire,11X,Pfizer,L85019,Harley House Surgery. Irnham Road. Minehead,Harley House Surgery 2 Irnham Road Minehead Somerset,TA245DL,-,-,GMS,No,932.50,28_Total_National_Enhanced_Services
Q55,Northeastern England,04H,Pfizer,C84059,Dr J D Smith & Partners,Clipstone Health Centre First Avenue Clipstone Mansfield Nottinghamshire,NG219DA,-,-,PpMS,No,250350.60,14_Total_QOF_Payments
Q46,Yorkshire,01G,Pfizer,P87654,Dr I Jeet & Partner,Lower Broughton Health Centre Great Clowes Street Lower Broughton Salford,M7 1RD,-,-,GMS,No,547244.77,33_Total_Prescribing_Payments_and_Reimbursement_of_Drugs
Q71,Asiba,07W,Pfizer,E85682,Dormers Wells Medical Centre,143 Burns Avenue Southall Middlesex,UB1 2LU,-,-,GMS,No,3178.55,37_Total_NHS_Paymzents_to_General_Practice_Minus_Deductions
Q52,Bavaria,02T,Microsoft,B84012,Dr S Cleasby & Partners,Spring Hall Group Practice Spring Hall Medical Centre Spring Hall Lane Halifax West Yorkshire,HX1 4JG,-,-,PMS,No,9832.50,16_Directed_Enhanced_Services_-_Childhood_Vaccination_and_Immnisation_Scheme
Q71,Asia,08R,Pfizer,H85035,K Worthigton,The Rowans Surgery 1 Windermere Road London,SW165F,-,-,PMS,No,9832.50,28_Total_National_Enhanced_Services
Q68,Wessex,0h9F,Cisco,G81022,Sovereign Practice,Princes Park Health Centre 7 Wartling Road Eastbourne,BN227PG,-,-,PMS,No,4536219.57,30_Information_Management_and_Technology
Q69,Pacific Coast,10N,Pfizer,K81004,Tilehurst Surgery Partnership,Tilehurst Surgery Partnership Tylers Place Pottery Road Tilehurst,RG306BW,-,-,PMS,No,547892.10,29T_otal_Local_Enhanced_Services
Q53,Midlands,05R,Toyota,M84043,Trinity Court Surgery,Trinity Court Surgery Stratford Healthcare Arden Street Stratford Upon Avon,CV376NQ,-,-,GMS,Yes,4536219.57,23_Directed_Enhanced_Services_-_Patient_Participation
Q46,Yorkshire,00V,Microsoft,83609,Thze Birches Medical Centre,The Birches Medical Centre Polefield Road Prestwich,M25 2GN,v-,-,GMS,No,5794302.73,36_Deductions
Q64,Scotland,11M,Toyota,L84031,Stow Surgery,The Surgery Well Lane Stow On The Wold Glos,GL541EQ,-,q-,GMS,Yes,18456.7,33_Total_Prescribing_Payments_and_Reimbursement_of_Drugs
Q51,West Midalnds,02X,Pfizer,C86033,Dr Nayar & Partners,The Martinwells Centre Thompson Avenue Edlington Doncaster,DN121DJ,-,-,GMS,No,653827.42,03_Average_Payment_per_Registered_Patient
Q51,West Midlands,03N,GoldmanSachs,C88072,Woodhouse Health Centre,5 - 7 Skelton Lane Sheffield,S13 7LY,,-,PMS,No,453219.57,17_Directed_Enhanced_Services_-_Extended_Hours_Access
zQ45,Sutheast,0K0,Pfizer,A81609,A And B Medical Practice,At A And B Medical Practice Clarence Street Stockton-On-Tees,TS182EP,-,***,GsMS,o,34567.8,01_Number_of_Registeed_Patients_Last_Known_Figure
Q71,Asia,07L,Centrica,Y02583,Child & Family Health Centre,Axe Street Barking Essex,IG117LY,-,-,MPS,No,4536219.57,12_PCO_Administered_-_Appraisal_Appraiser_Costsin_Respect_of_Locums
58,Scotland,06N,Pfizer,E82652,Gossoms End - Ojo-Aromokudu,Gossoms End Surgery Victory Road Berkhamsted Herts,HP4 1DL,-,-,PMS,No,3178.55,13_PCO_Administered_-_PCO_Admin_Other
Q69,Pacific Cohast,10G,Pfizer,K81010,Kings Corner Surgery,Kings Corner Surgery Kings Road Sunninghill Ascot,SL5 0AE,-,-,GMS,No,4536219.57,30_Information_Management_and_Technology
Q56,Midlands,07K,Google,D83075,Siam Surgery Sudbury (019),Siam Surgery Siam Place Sudbury,CO101JH,-,p-,GMS,No,45760.32,18_Directed_Enhanced_Services_-_Facilitating_Timely_Diagnosis_and_Support_for_People_with_Dementia
Q58,Scotland,06N,Samsung,E82129,Kings Langley Surgery - Patel,Kings Langley Surgry The Nap Kings Langley Herts,WD4 8ET,***,-,GMS,No,589221.47,29_Total_Local_Enhanced_Services
Q67,Flanders,99J,Pfizer,8G2715,Rowan Tree Surgery,Rowan Tree Surgery Rowan Tree Road Tunbridge Wells Kent,TN2 5PX,-,-,GMS,No,12499.50,17_Directed_Enhanced_Services_-_Extended_Hours_Access
Q58,Scotland,04G,Samsugn,K83035,Kingsythorpe Medical Centre,Kingsthorpe Medical Centre Eastern Avenue South Kingsthorpe Northampton,NN2 7JN,-,-,GMS,No,4536219.57,13_PCO_Administered_-_PCO_Admin_Other
Q69,Pacific Coast,10H,Pfizer,K82066,Pound House Surgery,The Pound House Surgery 8 The Green Wooburn Green High Wycombe Bucks,HP100EE,-,-,GMS,No,4536219.57,11_PCO_Administered_-_Prolonged_Study_Leave
Q46,Yorskhire,00T,Cisco,P82643,Dr S N Liversedge & Partners,Egerton And Dunscar Health Centre Darwen Road Bromley Cross Bolton,BL7 9RG,-,-,PMS,Yes,4536219.57,10_PCO_Administered_-_Total_Locum_Allowances
Q67,Flanders,10E,Samsung,G82107,Minster Surgery,75 High Street Minster Ramsgate Kent,CT124AB,-,-,GMS,Yes,750.89,03_Average_Payment_per_Registered_Patient
Q66,Yorkshire,99P,Pfizer,L83074,Stirling Health Group,Stirling Health Group Stirling Road St Budeaux Plymouth Devon,PL5 1PE,-,-,PMS,No,4536219.57,09_PCO_Administered_-_Doctors_Retainer_Scheme_Payments
Q71,Asia,7P,Pfizer,E84685,Integrated Health Cic-Sudbury Primary Care Centre,Sudbury Surgery Sudbury Primary Care Centre Vale Farm Watford Road Wembley Middx,HA0 3HG,-,***,PMS,No,4536219.57,18_Directed_Enhanced_Services_-_Facilitating_Timely_Diagnosis_and_Support_for_People_with_Dementia
Q66,Yorkshire,11N,Pfizer,L82049,Falmouth Health Centre,Falmouth Health Centre Trevaylor Road Falmouth Cornwall,TR112LH,-,-,GMS,No,5983.44,04_Average_Payment_per_Weighted_Patient
Q48,Cornwall,99A,iemens,N82037,Alexander-White & Partners,Westmoreland G P Centre Fazakerley Hospital Longmoor Lane Liverpool,L9 7AL,***,-,PMS,No,8634.25,07_Premises_Payments
Q58,Scotland,06N,Siemens,E82094,Manor St Surg - Walker,The Manor Street Surgery Manor Street Berkhamsted Herts,HP4 2DL,-,-,GMS,No,8391.47,13_PCO_Administered_-_PCO_Admin_Other
57,Tuscany,07G,Samsung,F81669,Okoi H & Partner,The Derry Court Medical Practice Derry Court Derry Avenue South Ockendon Essex,RMq155GN,-,-,PMS,No,745.22,37_Total_NHS_Payments_to_General_Practice_Minus_Deductions
Q71,Aia,08X,Siehmens,H85011,The Greyswood Practice,66 Eastwood Street Streatham London,SW166PU,-,-,PMS,No,4536219.57,20_Directed_Enhanced_Services_-_Influenza_and_Pneumococcal_Immuisations
Q57,Tuscany,07G,Microsoft,F81137,Orsett Surgery,63 Rowley Road Orsett Grays Essex,RM163ET,-,-,GMS,Yes,4536219.57,09_PCO_Administered_-_Doctors_Retainer_Scheme_Payments
Q51,West Midlands,02P,Pfizer,C85028,Dr Harban & Partners,The Medical Centre Pontefract Road Lundwood Barnsley,S71 5PN,-,-,PMS,No,4536219.57,09_PCO_Administered_-_Doctors_Retainer_Scheme_Payments
Q49,Yorkshire,00L,Pfizer,A84021,Infirmary Drive Medical Group,The Consulting Rooms Infirmary Drive Alnwick Northumberland,NE662NR,-,-,PMS,Ymes,5794302.73,14_Tyotal_QOF_Payments
Q47,Yorkshire,00R,Siemens,P81043,South King Street Medical Centre,The Medical Centre 25 South King Street Blackpool Lancashire,FY1 4NF,n-,-,GMS,o,4536219.57,12_PCO_Administered_-_Appraisal_Appraiser_Costs_in_Respect_of_Locums
Q69,Pacific Coast,10W,Globex,K81081,Abbey Medical Centre,Abbey Medical Centre 41 Russell Street Reading Berkshire,RG1 7XD,-,-,PMS,No,4536219.57,19_Directed_Enhanced_Services_-_Improving_Patient_Online_Access
Q45,Southeast,00M,Pfizer,A81020,Martonside Medical Centre,Martonside Medical Centr e1A Martonside Way Middlesbrough,TS4 3BU,-,-,GMS,No,4536219.57,10_PCO_Administered_-_Total_Locum_Allowances
Q70,Conrwall,11J,Pfizer,J81056,Orchard Surgery,The Orchard Surgery Christchurch Medical Centre 1 Purewell Cross Road Christchurch,BH233AF,***,-,PMS,No,890324.56,20_Directed_Enhanced_Services_-_Influenza_and_Pneumococcal_Immunisations
Q47,Yorkshire,01E,Pfizer,P81179,Lostock Hall Medical Centre,410 Leyland Road Lostock Hall Preston Lancashire,PR5 5SA,-,-,GMS,No,4536219.57,21_Directed_Enhanced_Services_-_Learning_Disabilities
Q71,sia,07Y,Pfizer,E85739,Greenbrook Heston,Heston Health Centre Cranford Lane Heston Middlesex,TW5 9ER,***,-,PMS,No,547244.77,07_Premises_Payments
Q67,Flanders,10A,Pfizer,G82002,St James Surgery,St James' Surgery Harold Street Dover Kent,CT161SF,-,***,GMS,o,750.89,37_Total_NHS_Payments_to_General_Practice_Minus_Deductions
Q71,Asia,07Y,Pfizer,E85115,The Pentelow Practice,26 Pentelow Gardens Bedfont Feltham Middlesex,TW149EF,-,-,GMS,No,326900.45,37_Total_NHS_Payments_to_General_Practice_Minus_Deductions
5Q0,Midlands,02Y,Unilever,Y02656,The Wolds View Primary Care Centre,Entrance A Bridlington And District Hospital Bessingby Road Bridlington,YO164QP,-,***,PMS,No,4536219.57,11_PCO_Administered_-_Prolonged_Study_Leave
Q69,Pacific Coast,s10H,Google,K82010,Tower House Surgery,Tower House Surgery 169 West Wycombe Road High Wycombe Bucks,HP123AF,-,-,GMS,No,4536219.57,25_Directed_Enhanced_Services_-_Risk_Profiling_and_Case_Management
7Q1,Asia,08A,Pfizer,Y02222,Dr Coutinho M J,The Trinity Medical Centre 213 Burrage Road Plumstead London,SE187JZ,-,-,PMS,No,745.22,35_Total_NHS_Payments_to_General_Practice
Q54,South aEst England,05C,Pfizre,M87619,Coombswood Srgery,Coombswood Surgery 146-14 Coombs Road Halesowen West Midlands,B62 8AF,-,07/04/13,GMS,No,4536219.57,26_Directed_Enhanced_Services_-_Rotavirus_and_Shingle_Immunisation
Q50,Midlands,02Y,Pfizer,B81088,Dr Harrison R W,The Medical Centre Pinfold Street Howden,DN147DD,-,-,PMS,No,48276.78,07_Premises_Payments
Q71,Asia,08T,Pfizer,H85103,Hackbridge Medical Centre,138 London Road Hackbridge Carshatlton Surrey,SM6 7HF,-,-,PMS,No,4536219.57,30_Information_Management_and_Technology
Qn66,Ysorkshire,9l9P,Siemens,Y02121,Honiton Surgery,The Surgery Marlpits Road Honiton Devon,EX142YN,-,***,MGS,zNo,4536219.57,15_Directed_Enhanced_Services_-_Alcohol
Q70,Cornwall,11J,Google,J81052,Carlisle House Surgery,Carlisle House 53 Lagland Street Poole Dorset,BH151QD,-,-,GMS,No,9832.50,08_PCO_Administered_-_Seniority
Q48,Cornwall,99A,Pfizer,N82011,Redmond And Partners,Priory Medical Centre Belmont Grove Anfield Liverpool,L6 4EW***,-,-,GMS,No,51230.45,28_Total_National_Enhanced_Services
Q71,Asia,07Q,Pfizer,G84010,The Chislehurst Medical Practice,42 High Street Chislehurst Kent,BR7 5AQ,-,-,PMS,No,18042.50,37_Total_NHS_Payments_to_General_Practice_Minus_Deductions
Q71,Asia,08D,Pfizer,F85059,Dr Kundu,18 St Johns Road Tottenham London,N15 6QP,-,-,sGMS,No,8391.47,17_Directed_Enhanced_Services_-_Extended_Hours_Access
Q48,Cornwall,9A9,Pfizer,N82084,Caldwell J & Partners,The Surgery 1 Gateacre Brow Gateacre Liverpool,L25 3PA,-,-,GMS,No,$150.5,21_Directed_Enhanced_Services_-_Learning_Disabilities
Q54,South East England,06A,Pfizer,M92649,Mudigonda,Bilston Health Centre Prouds Lane Bilston,WV146PW,-,-,GSM,No,4536219.57,09_PCO_Administered_-_Doctors_Retainer_Scheme_Payments
Q60,Midlands,05G,Seacrest,Y02570,Midway Medical Walk In Centre,Morston House The Midway Newcastle,ST5 1QG,-,-,PMS,No,456219.57,32_Non_DES_Itwem_Pneumococcal_Vaccine_Childhood_Immunisation_Main_Programme
Q68,Wessex,99H,Google,H81051,Dr N Mckee & Partners,The Derby Medical Centre 8 The Derby Square Epom Surrey,KT198AG,-,-,PMS,No,4536219.57,22_Directed_Enhanced_Services_-_Minor_Surgery
Q45,Southeast,00D,Toyota,A83044,The Horden Group Practice,The Surgery Sunderland Road Horden Peterlee Co Durham,SR8 4QP,-,c-,GMS,No,4536219.57,6_Global_Sum_and_MPIG_-_MPIG_Correction_Factor
Q71,pAsia,08X,Siemens,H85061,V M Bearn,Heathbridge Practice 125 Upper Richmond Road London,SW152TL,-,-,PMS,No,4536219.57,32_Non_DES_Item_Pneumococcal_Vaccine_Childhood_Immunisation_Main_Programme
Q48,Cornwall,99A,Pfizer,N82678,Syed Oa,Stopgate Lane Medical Centre 6 Stopgate Lane Fazakerley Liverpool,L9 6AP,-,-,GMS,No,4536219.57,02_Number_of_Weighted_Patients_Last_Known_Figure
Q64,Scotland,11M,Pfizer,L84043,Campden Surgery,Campden Surgery Back Ends Chipping Campden Glos,GL556AU,-,-,GMS,Yes,18456.7,17_Directed_Enhanced_Services_-_Extended_Hours_Access
Q49,Yorkshire,00P,Pfizer,A89036,Castletown Medical Centre,Castletown Medical Centre 6 The Broadway Castletown Sunderland,SR5 3EX,-,-,GMS,No,$150.75,17_Directed_Enhanced_Services_-_Extended_Hours_Access
Q66,Yorkshire,99P,Google,L83020,Axminster Medical Practice,St. Thomas' Court Church Street Axminster,EX135AG,-,-,PMS,Yes,4536219.57,25_Directed_Enhanced_Services_-_Risk_Profiling_and_Case_Management
Q48,Cornwall,99A,Pifzer,N82036,Netherley Hc - Ssp Health Limited,Netherley Health Centre Middlemass Hey Netherley Liverpool,L27 7AF,-,-,PMS,No,34567.8,18_Directed_Enhanced_Services_-_Facilitating_Timely_Diagnosis_and_Support_for_People_with_Dementia
49,Yorkshire,00P,Pfizer,A89019,Dr Cloak & Partners,Southwick Health Centre The Green Southwick Sunderland,SR5 2LT,-,-,PMS,No,589221.47,22_Directed_Enhanced_Serviyces_-_Minor_Surgery
Q50,Midlands,03F,Samsung,B81631,Dr Raut R And Partner,Highlands Health Centre Lothian Way Bransholme Kingston Upon Hull,HU7 5DD,-,,PMS,No,5794302.73,16_Directed_Enhanced_Services_-_Childhood_Vaccination_and_Immunisation_Scheme
Q69,Pcific Coast,10Q,Pfizer,K84005,Kennington Health zCentre,Kennington Health Centre 200 Kennington Road Kennington Oxford,OX1 5PY,-,-,GMS,No,4536219.57,13_PCO_Administered_-_PCO_Admin_Other
Q71,Asia,08W,Pfiezr,F86011,Dr Huddart - The Manor Practice,The Manor Practice 454 Lea Bridge Road Leyton London,E10 7DY,-,-,GMS,No,4536219.57,11_PCO_Administered_-_Prolonged_Study_Leave
Q49,Yorkshire,00P,Pfizer,A89015,Fulwell Medical Centre,Fulwell Medical Centre Ebdon Lane Fulwell Sunderland,SR6 8DZ,-,-,PMS,No,4536219.57,15_Directed_Enhanced_Services_-_Alcohol
Q45,Southeast,00M,Unilever,A81630,Fulcrum Medical Practice,Fulcrum Medical Practice Acklam Road Middlesbrough,TS5 5HA,-,-,PMS,No,4536219.57,10_PCO_Administered_-_Total_Locum_Allowances
Q68,Wessex,09D,Unilever,Y02676,Brighton Station Health Centre,Aspect House 84-87 Queens Road Brighton,NB1 3XE,-,-,APMS,No,4536219.57,09_PCO_Administered_-_Doctors_Retainer_Scheme_Payments
Q71,Axsia,07T,Pfizer,Y03049,Springfield Health Centre,19-21 Oldhil lStreet London,N16 6LD,-,-,APMS,No,4536219.57,32_Non_DES_Item_Pneumococcal_Vaccine_Childhood_Immunisation_Main_Programme
Q57,Tuscany,99F,Unilever,F81699,Ayub M A - Long Road Surgery,409 Long Road Canvey Island Essex,SS8 0JS,-,-,GMS,No,4536219.57,30_Information_Management_and_Technology
Q71,Asia,07R,Cisco,F83682,Rosslyn Hill Surgery,20 Rosslyn Hill Hampstead London,NW3 1PD,-,-,PMS,No,45760.32,04_Average_Payment_per_Weighted_Patient
Q53,Midlands,05R,Google,M84044,Harbury Surgery,Harbury Surgery Mill Street Harbury,CV339HR,-,-,PMS,Yes,34567.8,16_Directed_Enhanced_Services_-_Childhood_Vaccination_and_Immunisation_Scheme
Q70,ornwall,11J,Siemens,J81030,Verwood Pracltice,The Verwood Surgery 15 Station Road Verwood Dorset,BH317PY,-,-,PMS,No,3178.55,28_Total_National_Enhanced_Services
Q56,Midlands,06W,Pfier,D82026,Dr Phipp & Partners,The Lakenham Surgery 1 Ninham Street Lakenham Norwich Norfolk,NR1 3JJ,-,a-,GMS,No,4827.5,20_Directed_Enhanced_Services_-_Influenza_and_Pneumococcal_Immunisations
Q56,Midlands,06H,Google,D81619,Dr Lund And Partner,Parkhall Road Somersham Huntingdon Cambs,PE283EU,***,-,PMS,Yes,4536219.57,07_Premises_Payments
Q53,Midlands,05H,Pfizer,M84007,Long Street Surgery,The Surgery 162 Long Strebet Dordon Tamworth,B78 1QA,k-,-,GMS,Yes,4536219.57,24_Directed_Enhanced_Services_-_Remote_Care_Monitoring
Q67,Flanders,09W,Pfizer,G82670,Healthy Living Ctr Rochester,The Health Centre Delce Road Rochester Kent,ME1 2EL,-,***,GMS,No,4536219.57,09_PCO_Administered_-_Doctors_Retainer_Scheme_Payments
Q65,Yorkshire,11T,fPizer,L81004,Portishead Medical Group,Portishead Health Centre Victoria Square Portishead Bristol,BS206AQ,-,f-,PMS,No,4536219.57,22_Directed_Enhanced_Services_-_Minor_Surgery
Q71,Asai,07V,Siemens,83020,Dr Rodrigues & Partners,Eversley Medical Centre 501 London Road Thornton Heath,CR7 6AR,-,-,PMS,No,4536219.57,06_Global_Sum_and_MPIG_-_MPIG_Correction_Factor
Qz71,Asia,07W,Pfizer,E85028,Hillcrest Surgery,337 Uxbridge Road Acton London,W3 R9B,-,-,GMS,No,5436219.57,27_Directed_Enhanced_Services_-_Services_for_Violent_Patients
71,Asia,08Q,Pfizer,G85904,Bermondsey & Lansdowne Medical Mission (Dr Torry),Decima Street London,SE1 4QX,-,-,PMS,o,4536219.57,19_Directed_Enhanced_Services_-_Improving_Patient_Online_Access
Q55,Northeastern England,04E,Google,C84658,Dr Allen & Ptrs,Meden Medical Services Egmanton Road Meden Vale Mansfield Nottinghamshire,NG209QN,-,-,PMS,No,547892.10,34_Other_Ptayments
Q45,Southeast,00K,GlaxoSmithKline,Y02597,The Fens Medical Cuentre,434 Catcote Road Fens Estate Hartlepool,TS252LS,-,-,PMS,No,4536219.57,15_Directed_Enhanced_Services_-_Alcohol
Q67,Flanders,99J,Siemens,G82058,Aylesford Medical Centre,Admiral Moore Drive Royal British Legion Village Maidstone Kent,ME207SE,-,-,GMS,No,4536219.57,32_Non_DES_Item_Pneumococcal_Vaccine_Childhood_Immunisation_Main_Programme
