objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length(double precision),shape_area(double precision)
39,2020,CT3206-00-m1-L2_01,"Chaffee, Lake (Ashford)",Ashford,"LAKE, FRESHWATER",52.15,Acres,1491,1100002,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,10048.8438955426,2271699.66935679
40,2020,CT3206-21-1-L1_01,Knowlton Pond (Ashford),Ashford,"LAKE, FRESHWATER",110.95,Acsres,1465,1100002,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessde,No,18983.6951677781,4832929.02795286
41,2020,CT3800-05-1-L4_01,Big Pond (Lebanon/Windham),Lebanon,"LAKE, FRESHWATER",38.55,Acres,211,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insuficient Information,Not Classified For Drinking Water,Not Evaluatexd,No,6785.53012223499,1678994.03920449
42,2020,CT3202-00-1-L1_01,Keach Pond (Wofodstock),Woodstock,LAKE FRESHWATER,29.69,Ares,1405,1100002,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,7086.94403544225,1293320.20234777
43,2020,CT6302-00-1-L1_01,Hatch Pond (Sharon),Sharon,"LAKE, FRESHWATER",19.82,Acres,1171,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recretaion,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6511.78715882649,863370.963316917
44,2020,CT6802-12-1-L1_01,Cat Swamp Pond (Woodbury),Woodbury,"LAKE, zFRESHWATER",28.57,Acres,449,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluted,No,5760.59840474735,1244650.9707812
45,2020,CT3106-06-1-L2_01,Crandall Pond (Cider Mill Pond) (Tolland),"Cider Mill Road, Tolland (just north of I84, in Crandall Park) formerly CT3106-00-2-L2_01 (wrong waterbody)","LAKE, FRESHWATER",2.63,Acres,519,1100002,48,INLAND SURFACE WATERS CLASS A,"Habtiat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreatxion,Not Supporting,Fish Consumcption,Injsufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,1335.89294511291,114672.529054892
46,2020,CT4321-00-1-L2_01,Barber Pond (Bloomfield/Windsor),"NE corner of Bloomfield, near Windsor border, N of Newberry Road.","LAKE, FRESHWATER",9.4,Acres,112,1080207,48,INLAND SURFACE WATERS CLASS A,"Habita tfor Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluaetd,No,4301.44782322676,409580.229077604
47,2020,CT4500-00-3-L3_01,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,"LAKE, FRESHWATER",49.9,Acres,2994,1080205,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,8614.07142319367,2173456.36391191
48,2020,CT6000-00-5+L2_01,"Zoar, Lake (Monroe/Newtown/Oxofrd/Southbury)","Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside). Includes Kettletown State Park.","LAKE, FRESHWATER",580.57,Acres,1554,1100005,49,INLAND SURFACE WATERS CLAS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Suppoarting,Recreation,Not Supporting,Fish Consumption,Not Supproting,Not Classified For Drinking ater,Not Evaluated,Yes,72327.8061340326,25289589.4604226
49,2020,CT3705-00-1-L1_01,Griggs Pond (Woodstock),Northwest corner of Woodstock.,"LAKE, FESHWATER",37.56,Acres,1092,1100001,48,INLAND SURFACE WATERS CLASS A,"Haitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumptioqn,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,7640.62529214094,1635983.49149069
50,2020,CT3203-00-1-L2_01,Bigelow Pond (Union),DS of Mashapaug Lake in northern Union.,"LAKE, FRESHWATER",25.8,Acres,214,1100002,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Ryecreation,Fully Supporting,Fish Consuxmption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,8980.97603020878,1123731.54260915
51,2020,CT3201-01-1-L1_01,Black Pond (Woodstock),"Eastern Woodstock, south of Rte 197.","LAKE, FRESHWATER",71.88,Acres,236,1100002,50,INLAND SURFACE WATERSv CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Isufficient Information,Existing or proposed drinking water,Not Assessed,No,8213.55301830889,3130968.1663953
52,2020,CT3708-00-1-L1_01,Roseland Lake (Woodstock),Southeast secxtion of Woodstock.,"LAKE, FRESHWATER",96.38,cres,2465,1100001,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking waterr,Insufficient Information,Yes,10217.3549883874,4198419.69951084
53,2020,CT3101-03-1-L1_01,Crystl Lake (Ellington/Stafford),"Northeast section of Ellington, small part in southwestern section of Stafford.","LAKE, FRESHWATER",187.38,Acres,655,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, OtherA quatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classicfied For Drinking Water,Not Evaluated,oN,15824.0721676844,8162240.69080054
54,2020,CT3700-23-1-L1_01,Alexander Lake (Killingly),Dayville section of Killingly.,"LAKE, FRESHWATER",189.55,Acres,21,1100001,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,o,20428.8341881384,8256818.30413313
55,2020,CT3200-01-1-L1_01,Halls Pond (Eastford/Ashford),SW corner of Eastford.,"LAKE, FRESHWAETR",83.16,Acres,1132,1100002,50,INLND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Spuporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Informtaion,Existing or proposed drinking water,Insufficient Information,No,15866.3436360267,3622364.23149572
56,2020,CT3108-02-1-L2_01,"Bolton Lake, Middle (Vernon)",Southeast section of Vernon.,"LAKE, FREsSHWATER",117.2,Acres,266,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,qNo,14402.0904400297,5105195.54061232
